Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Taiwan, China",TWN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,17.79,16.92,13.9,11.07,8.6,8.01,7.37,7.62,7.55,7.08,6.72,6.76,6.81,6.97,7.53,7.61,8.06,8.73,9.08,8.74,8.78,9.06,9.84,10.26,11.7,12.28,13.65,14.2,15.21
Tanzania,TZA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,44.38,44.6,44.6,45,45.1,49.2,47.4,47,50.5,51.4,49.27,51.37,56.55,61.73,62.62,66.44,64.64,67.75,70.49,71.63,75.95,81.79,87.95,93.94,97.65,103.82,104.66,103.33,105.38
Thailand,THA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,159.66,171.67,183.57,199.67,214.48,233.65,255.05,262.3,241.56,253.22,255.43,266.64,278.01,291.22,309.76,319.06,323.43,336.13,341.85,340.52,360.56,362.4,383.44,395.71,390.01,392.81,395.18,413.2,416.95
Timor-Leste,TLS,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.45,0.52,0.53,0.56,0.64,0.67,0.69,0.69,0.72,0.6,0.67,1.73,2.78,3.64,4.42,5.41,5.76,6.06,6.42,6.74,7.05,6.94,6.92,6.9,6.86,6.89,6.77,6.39,6.19
Togo,TGO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,4.17,4,3.69,3.58,3.88,3.91,4.37,4.13,5,5.36,5.22,4.99,5.47,6.13,5.9,6.81,6.25,5.94,6.27,7.71,7.54,8,7.48,7.32,7.05,7.79,8.24,8.01,8.42
Tonga,TON,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.25,0.27,0.25,0.26,0.27,0.26,0.24,0.25,0.24,0.26,0.24,0.23,0.24,0.26,0.27,0.28,0.29,0.27,0.27,0.28,0.26,0.25,0.26,0.26,0.27,0.27,0.31,0.34,0.35
Trinidad and Tobago,TTO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,15.15,14.06,13.01,13.56,14.12,14.29,14.55,15.1,15.51,15.71,15.97,17.11,17.81,17.16,17.91,21.69,24.42,24.46,23.71,22.95,25.56,26.41,25.62,26.52,25.99,25.6,22.84,23.07,22.9
Tunisia,TUN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,19.85,20.89,21.64,23.21,23.2,23.87,25.37,26.07,27.45,28.89,30.47,31.23,31.31,31.52,32.67,33.18,34.23,34.92,35.05,35.63,37.96,36.29,37.24,37.12,39.36,40.17,39.73,40.72,41.1
Turkiye,TUR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,206.21,208.67,216.16,222.67,217.86,232.44,250.19,259.32,260.52,260.42,284.42,262.24,272.52,284.41,290.69,303.23,332.61,362.55,361.14,364.56,374.33,396.91,411.02,402.24,427.12,433.85,460.82,502.67,502.52
