Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Brunei Darussalam,BRN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,13.88,13.49,13.83,14.24,14.65,15.16,15.69,16.4,15.95,16.16,16.72,16.7,16.83,17.82,17.58,17.56,19.48,18.64,18.53,18.27,17.22,17.27,17.31,17.11,16.96,15.88,16.18,16.33,16.62
Bulgaria,BGR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,98.34,81.12,75.25,73.77,69.88,71.1,71.63,69.11,65.26,58.33,57.7,60.16,57.51,62.3,60.99,60.95,61.03,65.21,62.76,55.35,57.04,62.84,57.15,52.06,54.66,57.31,54.27,56.45,53.33
Burkina Faso,BFA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,12.51,12.95,13.26,13.52,13.98,14.37,14.4,15.01,15.16,15.5,16.62,15.81,16.55,20.03,20.63,21.3,21.35,22.1,22.94,23.64,24.81,25.25,25.97,26.99,27.49,28.24,29.65,30.56,30.85
Burundi,BDI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,2.94,3.04,3.08,3.1,3.04,3.14,3.12,3.15,3.16,3.1,3.05,3,2.96,2.92,2.95,2.98,3.13,3.2,3.33,3.49,3.81,4.01,4.07,4.43,4.37,4.35,4.75,5.39,5.52
Cabo Verde,CPV,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.24,0.25,0.29,0.29,0.28,0.31,0.3,0.31,0.34,0.38,0.4,0.43,0.47,0.5,0.54,0.64,0.7,0.66,0.68,0.73,0.77,0.76,0.73,0.72,0.71,0.72,0.77,0.8,0.83
Cambodia,KHM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,17.28,17.1,17.75,18.68,17.6,19.77,20.1,20.28,20.34,21.54,20.45,20.54,21.07,22.65,22.6,24.07,25.64,26.74,27.31,28.71,29.06,30.58,30.31,30.6,31.55,33.72,35.39,37.84,37.46
Cameroon,CMR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,17.84,17.53,17.48,21.65,78.09,78.13,77.88,78.81,80.34,80.59,82.58,81.44,81.28,82.63,81.69,83.41,82.99,84.28,83.94,84.42,85.5,84.75,84.45,85.65,86.32,87.3,88.3,88.32,89.05
Canada,CAN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,559.84,555.77,571.7,569.72,590.3,605.76,626.13,641.55,650.07,653.8,671.76,660.9,679.48,698.41,693.31,705.08,691,722.54,698.19,661.01,674.2,689.76,694.21,705.42,712.31,707.93,695.2,709.37,724.93
Cayman Islands,CYM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,34.73,35.48,35.97,36.45,39.39,39.96,42.36,42.92,45.34,43.39,46.74,42.64,40.13,44.98,42.1,42.87,43.57,44.49,46.24,42.26,44.96,48.06,46.98,50.04,51.37,53.48,55.82,54.78,55.68
Chad,TCD,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,15.44,21.87,22.74,23.71,24.7,25.73,28.72,29.36,30.2,32.22,35.05,33.35,37.38,41.25,44.46,48.34,49.09,50.99,52.08,52.73,55.15,57.65,60.51,62.82,65.41,70.56,75.22,77.69,80.68
Channel Islands,CHI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,47.52,46.79,49.13,50.49,54.02,57.48,63.88,71.06,72.33,75.12,71.48,69.33,70.05,70.92,76.25,76.81,78.18,86.38,90.92,88.35,93.17,99.62,101.9,104.98,98.66,104.02,108.15,109.35,109.59
China,CHN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3222.27,3371.94,3503.1,3726.35,3877.37,4266.84,4302.87,4311.65,4451.04,4401.29,4597.43,4791.44,5100.86,5717.66,6467.06,7194.48,7879.33,8497.04,8786.12,9377.66,10203.82,11074.55,11399.83,11854.53,11865.31,11859.29,11857.18,12058.05,12355.24
Colombia,COL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,124.29,126.05,129.72,133.73,135.82,138.85,139.46,144.13,145.83,135.76,139.71,142.19,141.23,143.24,145.07,147.79,149.02,154.39,155.75,159.9,164.35,166.91,165.34,172.01,175.23,176.98,180.94,177.47,184.1
Comoros,COM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.27,0.27,0.28,0.29,0.29,0.3,0.3,0.31,0.33,0.34,0.32,0.34,0.35,0.37,0.39,0.38,0.41,0.36,0.38,0.4,0.44,0.45,0.46,0.49,0.49,0.51,0.54,0.58,0.59
"Congo, Dem. Rep.",COD,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,42.21,41.1,41.5,41.87,42.2,42.19,37,36.57,37.62,35.87,35.58,37.32,42.72,45.61,47.79,47.91,49.1,46.51,48.79,49.25,51.03,51.12,52.16,55.97,57.68,57.98,57.64,59.66,58.7
"Congo, Rep.",COG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,4.11,6.33,6.25,6.21,5.99,6.17,4.86,5.5,5.48,5.25,5.01,5.29,5.64,6.67,6.78,9.24,9.59,9.65,10.09,10.12,10.25,10.29,10.14,9.63,9.37,9.2,9.25,9.18,9.37
Cook Islands,COK,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.08,0.09,0.1,0.1
Costa Rica,CRI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,8.85,9.12,10.22,10.29,10.67,10.24,10.2,10.29,11.01,10.84,10.7,11.02,11.06,11.43,11.43,11.96,12.28,13.66,13.86,13.45,13.56,14.27,14.23,14.72,14.77,14.63,15.54,15.71,15.81
Cote d'Ivoire,CIV,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,9.25,14.98,20.57,26.26,32.09,31.86,31.58,32.22,31.81,33.08,32.42,31.48,30.86,28.08,25.7,26.21,24.39,23.19,22.26,20.37,19.32,18.21,19.13,20.46,20.41,21.46,22.73,23.12,22.9
Croatia,HRV,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,28.69,22.18,23.21,24.09,24.18,25.46,24.8,26.28,26.58,26.26,25.33,26.13,27.13,28.23,28,27.89,28.62,30.12,29.3,26.74,26.18,25.89,23.95,22.83,22.1,22.69,22.73,23.4,22.55
Cuba,CUB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,54.48,45.61,39.68,35.89,37.22,38.98,42.07,44.52,43.95,44.28,44.59,43.62,42.27,41.55,41.06,41.23,42.15,43.22,42.68,44.02,47.12,45.95,46.19,44.85,44.52,44.56,45.65,42.48,41.86
Curacao,CUW,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,5.41,5.94,6.36,6.63,6.88,6.77,7.15,7.23,7.56,7.84,8.1,8.02,8.25,8.92,8.86,9,9.11,9.43,9.62,9.44,9.13,8.88,8.37,7.7,8.08,8.14,8.54,8.68,8.6
Czech Republic,CZE,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,182.34,165.61,161.16,156.44,149.15,149.13,150.74,148.23,141.6,133.49,144.13,143.85,138.24,142.58,143.13,140.06,141.04,144.01,138.95,131.31,134.4,131.78,128.37,123.09,120.36,122.29,124.09,124.12,122.84
Denmark,DNK,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,68.17,78.79,72.59,75.16,78.86,75.77,89.24,79.57,75.51,72.67,68.47,69.71,69.45,74.88,68.56,64.7,72.47,67.67,64.19,61.37,61.8,56.46,51.39,52.94,48.69,46.61,48.33,46.16,45.87
Djibouti,DJI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.99,1.01,1.02,1.04,1.05,1.1,1.15,1.18,1.19,1.23,1.27,1.28,1.31,1.33,1.32,1.36,1.36,1.4,1.41,1.4,1.46,1.42,1.46,1.52,1.43,1.52,1.47,1.46,1.48
Dominica,DMA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.19,0.19,0.21,0.2,0.21,0.21,0.18,0.2,0.19,0.19,0.2,0.22,0.19,0.2,0.22,0.23,0.24,0.25,0.25,0.57,0.25,0.24,0.32,0.24,0.25,0.25,0.25,0.23,0.24
Dominican Republic,DOM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,15.9,17.05,18.56,19.09,21.09,21.6,22.52,24.18,26.09,26.74,27.5,28.29,30.69,28.36,27.62,28.85,30.82,32.01,32.19,31.69,33.03,33.39,34.16,33.93,34.17,36.52,37.79,37.01,39.06
Ecuador,ECU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,33.82,34.67,36.93,36.69,38.3,41.42,44.8,46.85,45.77,43.14,42.36,46.75,47.13,47.71,50.29,51.79,54.28,54.4,55.7,59.01,61.8,62.78,63.97,66.98,67.82,66.42,65.01,64.06,65.68
"Egypt, Arab Rep.",EGY,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,129.84,135.48,140.59,142.86,138.54,147.52,154.94,164.36,171.18,180.01,181.32,193.7,198.58,202.88,216.08,234.07,244.69,259.78,268.9,274.96,276.45,283.19,293.98,291.23,297.28,306.35,315.78,320.37,329.22
El Salvador,SLV,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,7.17,8.01,8.42,8.96,9.64,9.89,9.81,10.64,10.72,10.89,10.76,11.36,11.56,12.09,12.39,12.74,13.21,13.82,13.26,12.87,12.62,12.55,12.7,11.94,12.26,12.7,12.72,11.94,12.35
Equatorial Guinea,GNQ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.21,0.26,0.32,1.29,1.35,1.4,3.42,5.05,6.54,8.26,10.3,12.58,15.77,18.8,22.79,25.52,26.36,24.52,25.71,26.16,25.79,25.53,25.38,24.27,22.56,21.16,19.14,18.7,19.27
Eritrea,ERI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3.69,4.22,5.26,5.36,6.06,6.67,7.18,7.65,7.66,7.8,7.87,7.45,7.24,7.24,7.16,7.02,6.88,7.31,7.35,7.49,7.5,7.62,7.53,7.42,7.3,7.14,7.25,7.34,7.48
Estonia,EST,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,39.15,35.37,27.59,21.79,20.91,19.17,20.04,19.62,19.03,17.93,17.53,17.98,17.55,19.48,19.62,19.77,18.53,22.54,21,17.59,21.56,20.69,19.46,21.87,20.54,18.11,18.28,18.92,18.61
Eswatini,SWZ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,2.7,2.74,2.69,2.42,2.77,2.77,2.59,2.95,3,3.07,3.01,2.86,2.91,2.92,2.93,2.99,2.89,2.98,2.92,2.92,2.92,2.94,3.01,3.52,2.95,3,3.2,3.05,3.12
Ethiopia,ETH,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,66.41,68.18,70.72,66.21,68.61,70.74,74.93,78.02,84.79,85.29,83.31,87.34,96.88,95.26,97.63,101.16,106.55,116.9,121.86,126.67,131.44,133.09,140.65,147.51,155.66,161.09,167.19,170.62,172.23
Faroe Islands,FRO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1.82,1.83,1.88,1.94,1.99,2.05,2.11,2.09,2.05,2.04,2.07,2.34,2.18,2.29,2.72,2.52,2.6,2.5,2.21,2.18,2.37,2.37,2.35,2.51,2.74,2.37,2.61,2.73,2.82
Finland,FIN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,69.4,69.3,66.2,67.44,74.04,70.05,76.49,74.53,70.86,69.99,68.45,74.23,76.55,84.65,80.59,68.38,79.71,77.86,69.73,66.06,74.12,66.1,60.38,61.12,57,53.55,56.26,53.32,54.49
France,FRA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,502.75,527.54,512.8,494.01,488.27,497.01,515.77,505.84,521.88,511.48,508.56,513.38,505.83,510.7,508.44,509.07,498.79,491.62,485.35,467.05,470.79,453.51,456.32,457.25,424.13,430.14,430.02,432.38,423.35
French Polynesia,PYF,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,7.44,7.61,7.82,7.86,7.54,7.42,7.15,7.02,6.84,6.47,6.03,5.96,5.78,5.9,6.05,6.21,5.75,5.81,6.03,6.03,6.7,7.75,8.03,8.04,7.86,7.97,8.36,7.53,7.46
"Gambia, The",GMB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,4.41,4.57,4.68,4.8,4.34,3.88,3.61,3.28,3.04,2.73,2.47,2.26,2.05,1.96,1.87,1.74,1.86,1.93,2.11,2.49,2.56,2.26,2.36,2.44,2.59,2.62,2.66,2.7,2.79
Georgia,GEO,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,52.15,42.02,33.83,27.56,20.22,16.77,15.14,14.44,13.94,13.64,14.02,11.56,11.01,11.55,11.64,12.27,12.63,13.39,12.51,13.26,12.98,14.38,15.26,16.04,16.63,16.97,17.39,17.19,16.9
Germany,DEU,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1160.21,1130.62,1082.93,1075.23,1062.35,1055.73,1083.88,1045.89,1019.61,985.18,975.83,991.32,972.93,971.9,952.11,927.71,934.2,905.13,907.8,850.64,881.3,852.55,866.67,883.92,843.66,847.46,850.17,832.65,806.09
Ghana,GHA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,12.81,13.08,13.8,14.3,14.78,15.34,16.33,17.35,20.03,19.67,20.39,20.39,21.82,22.53,21.47,23.9,25.18,25.68,25.64,27.08,29.08,32.4,35.34,38.24,38.82,41.45,41.28,42.92,44.5
Gibraltar,GIB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,95.35,95.45,97.53,97.9,100.53,104.93,105.99,107.09,111.15,112.28,117.92,118.51,118.89,122.21,121.82,123.91,122.29,125.63,121.79,114.9,108.19,105.76,100.6,92.97,89.91,88.18,86.9,86.51,84.75
Greenland,GRL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1.84,1.86,1.92,1.91,1.93,1.96,1.99,2.02,2.06,2.07,2.07,2.1,2.13,2.15,2.14,2.16,2.19,2.21,2.24,2.77,2.26,2.27,2.41,2.32,2.26,2.29,2.31,2.33,2.36
Guam,GUM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,12.19,12.65,13.93,14.69,15.01,16.11,16.14,16.89,18.84,19.39,20.92,21.69,22.61,22.89,23.35,24.71,24.77,26.22,25.06,26.4,26.45,27.07,27.78,28.9,30.12,32.99,34.31,33.57,35.4
Guinea,GIN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,10.05,10.37,10.7,11.07,11.49,11.91,11.38,11.7,12.71,12.49,13.18,14.11,15.27,15.42,15.47,16.92,17.23,17.65,18.24,18.76,21.07,22.55,24.01,24.27,24.99,25.68,28.61,28.81,28.89
Guinea-Bissau,GNB,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1.58,1.59,1.63,1.66,1.68,1.72,1.65,1.64,1.62,1.76,1.73,2.02,2.07,2.12,2.04,1.99,2.16,2.19,2.11,2.24,2.34,2.34,2.53,2.5,2.5,2.62,2.65,2.74,2.8
Guyana,GUY,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,2.58,2.81,2.8,2.93,3.23,3.63,3.69,3.91,3.84,3.97,3.64,3.69,3.58,3.8,3.83,3.48,3.3,3.61,3.76,3.78,4.01,4.1,4.36,4.52,4.73,4.83,4.72,4.83,5.04
Haiti,HTI,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,5.06,5.28,5.69,5.33,4.83,5.62,5.9,6.3,6.44,6.58,7.05,7.22,7.51,7.55,7.42,7.51,7.56,7.97,7.99,8.04,8.57,8.97,8.71,9,9.36,9.68,9.89,9.9,9.93
Honduras,HND,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,11.9,12.04,12.38,12.2,12.91,13.7,13.29,13.22,13.44,12.87,13.18,14.09,14.49,16.32,17.14,17.1,18.07,18.75,18.77,18.71,18.89,19.92,20.3,20.88,21.12,21.56,21.5,21.3,22.4
"Hong Kong SAR, China",HKG,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,89.12,84.09,74.15,74.69,74.35,72.65,74.92,73.27,73.14,73.87,71.05,73.24,71.42,74.34,73.21,72.3,71.52,69.35,67.96,62.11,62.09,61.35,57.47,55.13,55.4,58.33,58.96,60.88,60.92
Iceland,ISL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,3.36,3.24,3.04,3,3.08,3.02,3.28,3.26,3.4,3.38,3.42,3.3,3.35,3.32,3.4,3.36,3.83,3.84,3.73,3.39,3.26,3.07,3.06,3.22,3.29,3.33,3.3,3.42,3.44
India,IND,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1226.44,1281.48,1313.71,1345.44,1391.78,1457.39,1509.06,1567.73,1601.88,1678.28,1717.56,1741.32,1763.94,1808.91,1894.78,1969.68,2065.57,2209.24,2309.34,2452.66,2564.13,2671.2,2814,2875.98,3048.79,3063.65,3103.11,3229.92,3374.99
Indonesia,IDN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,506.47,523.8,544.38,560.64,577.26,608.29,622.66,641.02,647.21,663.05,667.88,681.31,682.15,703.48,708.91,703.25,718.59,731.41,725.82,744.03,762.4,822.48,827.22,796.88,845.07,852,866.36,912.42,969.58
"Iran, Islamic Rep.",IRN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,260.94,301.28,322.25,320.54,353.08,370.29,384.5,401.98,410.08,447.91,466.76,483.52,508.2,537.5,574.43,613.27,661.39,699.78,713.33,737.58,743.55,750.7,761.05,781.95,794.19,786.5,795.97,814.73,828.28
Iraq,IRQ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,78.78,58.43,80.13,103.13,114.16,110.13,111.88,130.43,96.88,80.28,90.63,102.14,97.86,86.97,90.98,105.14,101.37,95.53,105.02,128.3,141.41,153.59,175.6,186.9,193.68,185.77,197.3,200.79,215.69
Ireland,IRL,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,56.57,57.14,57.35,58,59.48,60.32,61.8,63.31,66.71,68.26,71.23,73.48,72.74,73.03,72.26,73.47,74.45,72.82,71.77,66.4,65.04,60.65,62.31,61.38,61.54,63.35,65.88,65.25,65.09
Isle of Man,IMN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,43.98,45.06,47.84,51.9,55.23,59.06,62.16,65.18,66.55,68.74,73.61,73.51,75.52,76.35,77.44,76.1,80.42,83.61,84.29,83.87,89.32,89.59,96.71,88.55,87.15,89.51,89.42,91.06,87.83
Italy,ITA,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,491.25,488.85,485.62,479.32,474.03,499.02,495.26,499.04,510.33,517.56,522.47,520.66,528.94,547.47,558.59,559.87,547.47,540.72,525.85,476.97,485.46,474.59,456.71,424.93,405.24,416.15,411.45,405.77,399.6
Jamaica,JAM,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,9.03,9.02,9.82,10.01,10.05,10.36,10.7,10.84,11.39,11.67,11.78,11.81,11.98,12.41,12.32,12.28,13.48,13.4,11,9.26,8.86,9.01,8.57,9.05,8.89,8.78,9.23,8.69,10.02
Japan,JPN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,1185.03,1199.52,1212.81,1205.29,1262.49,1277.53,1291.66,1279.53,1232.41,1258.05,1274.3,1251.44,1283.11,1290.88,1282.76,1283.82,1261.9,1297.98,1231.18,1171.57,1228.24,1284.77,1327.04,1338.63,1300.99,1265.07,1257.73,1235.37,1186.77
Jordan,JOR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,18.67,19.14,21.89,22.63,23.71,23.34,22.57,22.07,21.28,20.34,20.9,21.03,21.84,22.43,23.93,25.44,26.18,27.63,26.89,27.57,27.43,28.55,32.12,32.42,34.68,34.97,35.07,36.74,35.81
Kazakhstan,KAZ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,309.01,319.04,319.88,278.25,253.28,221.6,193.46,165.45,164.91,148.83,148.04,148.59,165.64,176.83,193.87,206.3,227.66,235.72,282.13,251.22,277.3,294.13,294.14,307.44,258.09,259.34,274.52,283.58,274.22
Kenya,KEN,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,38.49,37.25,37.25,37.05,37.31,37.65,37.19,37.11,38.56,40.73,39.68,39.2,40.1,41.07,43.69,44.06,44.53,61.33,62.66,63.08,64.7,67.08,66.43,68.44,71.37,73.99,79.55,76.75,78.83
Kiribati,KIR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,0.04,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.09,0.1,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.11
"Korea, Dem. People's Rep.",PRK,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,159.02,151.51,137.37,127.91,118.48,110.82,99.01,90.67,82.4,86.35,89.64,92.75,89.95,91.25,92.57,95.62,97.82,85.34,93.39,76.8,73.94,59.67,61.41,50.83,54.55,48.43,53.46,46,41.91
"Korea, Rep.",KOR,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,286.68,312.02,336.58,367.44,395.04,427.42,455.36,481.2,416.39,454.25,511.79,528.55,521.37,529.25,553.34,548.76,557.07,565.86,579.95,593.6,646.42,670.79,675.29,675,664.25,685.8,696.93,710.34,718.88
Kosovo,XKX,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,32.07,38.76,26.35,32.99,37.83,38.24,37.81,39.3,45.53,49.78,53.6,57.5,60.45,63.03,67.17,75.26,78.27,77.93,82.73,85.48,89.24,93.59,97.46,100.56,100.32,106.22,109.84,111.46,112.97
Kyrgyz Republic,KGZ,Total GHG emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.GHG.EMSE.EL,32.65,30.39,22.73,17.88,12.7,10.01,10.95,10.83,11.04,9.7,9.66,9.07,10.03,10.67,10.82,10.5,10.61,11.86,13.03,12.66,12.33,13.75,16.34,15.87,16.41,16.96,16.51,16.24,18.12
